output,parameter,index,value,confidence
v_ven_mean,ao.r,ST,0.0021763653802394753,0.0007927488016465095
v_ven_mean,ao.c,ST,0.006709884623057425,0.001934153178945928
v_ven_mean,art.r,ST,0.13991458750594224,0.03753932553263518
v_ven_mean,art.c,ST,0.20829894255098916,0.05183509295013225
v_ven_mean,ven.r,ST,0.006886448392804086,0.0028907919509216632
v_ven_mean,ven.c,ST,0.14275592443251647,0.03929153369267913
v_ven_mean,av.r,ST,2.9852745338229013e-06,4.048559153468107e-06
v_ven_mean,mv.r,ST,0.003581657966017872,0.0011524582767348484
v_ven_mean,la.E_pas,ST,0.004670393611736359,0.0015254956312633254
v_ven_mean,la.E_act,ST,0.00011689271352266721,5.138017308540021e-05
v_ven_mean,la.k_pas,ST,0.2502338776368552,0.061046294244140875
v_ven_mean,lv.E_pas,ST,0.03352945612818667,0.010159353054795851
v_ven_mean,lv.E_act,ST,0.030296734854954845,0.01034851475162676
v_ven_mean,lv.k_pas,ST,0.16671585710017975,0.04867087007308738
v_ven_mean,ao.r,S1,0.0029393125382490373,0.010719966982053556
v_ven_mean,ao.c,S1,0.009813478815446003,0.01774428120612559
v_ven_mean,art.r,S1,0.14472683466133604,0.08924756668980438
v_ven_mean,art.c,S1,0.28434403246676876,0.10537636580530492
v_ven_mean,ven.r,S1,0.00523637660743693,0.017751065085656947
v_ven_mean,ven.c,S1,0.12413012361922683,0.08489277887997936
v_ven_mean,av.r,S1,-9.035638030925414e-05,0.00039334016625515493
v_ven_mean,mv.r,S1,0.005851810590567954,0.014205192081983342
v_ven_mean,la.E_pas,S1,0.004569229034573405,0.016527181079737687
v_ven_mean,la.E_act,S1,-0.0010256938271149569,0.002785359642415993
v_ven_mean,la.k_pas,S1,0.2854204870455245,0.10617180861736616
v_ven_mean,lv.E_pas,S1,0.025954073685588802,0.042353591394557105
v_ven_mean,lv.E_act,S1,0.036451026459365786,0.043057381928659495
v_ven_mean,lv.k_pas,S1,0.15857822391188045,0.09677492522054038
