output,parameter,index,value,confidence
p_ao_mean,ao.r,ST,0.006785045967472313,0.0036619379938022285
p_ao_mean,ao.c,ST,0.0018877766738984137,0.001030554453196533
p_ao_mean,art.r,ST,0.15309790477878696,0.08321435769998277
p_ao_mean,art.c,ST,0.07971198825867015,0.0363904370309808
p_ao_mean,ven.r,ST,0.000787928959689327,0.0005177699183840173
p_ao_mean,ven.c,ST,0.10171355040104121,0.058713070896210785
p_ao_mean,av.r,ST,1.5077898606213943e-05,6.954328801073116e-06
p_ao_mean,mv.r,ST,0.005014903130799803,0.003067264205201119
p_ao_mean,la.E_pas,ST,0.0029077410755895105,0.0017875118400456846
p_ao_mean,la.E_act,ST,0.0007695001883911704,0.00036583117600997537
p_ao_mean,la.k_pas,ST,0.1555232759122337,0.08669416410653516
p_ao_mean,lv.E_pas,ST,0.037970650136882826,0.017468825476166093
p_ao_mean,lv.E_act,ST,0.15785079269692648,0.08955377232392703
p_ao_mean,lv.k_pas,ST,0.23842211587602016,0.12677813489844636
p_ao_mean,ao.r,S1,0.004179538765429219,0.0472530155723181
p_ao_mean,ao.c,S1,-0.012682417601075111,0.028050488871020962
p_ao_mean,art.r,S1,0.1739455858752944,0.16843841761117193
p_ao_mean,art.c,S1,0.16647144255695573,0.09581714920187925
p_ao_mean,ven.r,S1,0.0028302478793572395,0.011920790518266751
p_ao_mean,ven.c,S1,0.13145153824921813,0.1261564732984184
p_ao_mean,av.r,S1,0.0006032092714134049,0.0016075915339308904
p_ao_mean,mv.r,S1,0.015155353472811616,0.026217702637593442
p_ao_mean,la.E_pas,S1,-0.0026804358310520216,0.02408769603048076
p_ao_mean,la.E_act,S1,0.018019411502158814,0.013871851845184925
p_ao_mean,la.k_pas,S1,0.0794850231766871,0.195339295059934
p_ao_mean,lv.E_pas,S1,0.005640559735321786,0.09124100200190063
p_ao_mean,lv.E_act,S1,0.07310565794459949,0.17390349487299864
p_ao_mean,lv.k_pas,S1,0.36392832783669776,0.16607297170353097
p_ao_mean,"('ao.r', 'ao.c')",S2,0.028088552900409673,0.06460983563119381
p_ao_mean,"('ao.r', 'art.r')",S2,0.033064511645424954,0.0790570304743147
p_ao_mean,"('ao.r', 'art.c')",S2,0.025729489123719085,0.06607975447794263
p_ao_mean,"('ao.r', 'ven.r')",S2,0.02753766795128541,0.06472018607088983
p_ao_mean,"('ao.r', 'ven.c')",S2,0.02647209002090814,0.06917327553944419
p_ao_mean,"('ao.r', 'av.r')",S2,0.027916220090870737,0.06544376999933728
p_ao_mean,"('ao.r', 'mv.r')",S2,0.02856384632445454,0.06787830767154257
p_ao_mean,"('ao.r', 'la.E_pas')",S2,0.028140092245382952,0.06611519762390478
p_ao_mean,"('ao.r', 'la.E_act')",S2,0.02848807845144325,0.06465088701766866
p_ao_mean,"('ao.r', 'la.k_pas')",S2,0.014258127559210562,0.051729375397130274
p_ao_mean,"('ao.r', 'lv.E_pas')",S2,0.01370859614373457,0.06108023190231263
p_ao_mean,"('ao.r', 'lv.E_act')",S2,0.03258792609189769,0.08128776389570838
p_ao_mean,"('ao.r', 'lv.k_pas')",S2,0.023994049042520893,0.07017211509899766
p_ao_mean,"('ao.c', 'art.r')",S2,0.014590970035111117,0.046166272771691184
p_ao_mean,"('ao.c', 'art.c')",S2,0.02701551633105137,0.04286667052370045
p_ao_mean,"('ao.c', 'ven.r')",S2,0.025922957476597425,0.04196546682199359
p_ao_mean,"('ao.c', 'ven.c')",S2,0.03454235126396743,0.04338480784876792
p_ao_mean,"('ao.c', 'av.r')",S2,0.02665857873204083,0.042216174814922035
p_ao_mean,"('ao.c', 'mv.r')",S2,0.02636453826974024,0.04281168863795506
p_ao_mean,"('ao.c', 'la.E_pas')",S2,0.02644738175877944,0.04256294366494479
p_ao_mean,"('ao.c', 'la.E_act')",S2,0.027123404399957987,0.04268218853005073
p_ao_mean,"('ao.c', 'la.k_pas')",S2,0.03581735626973927,0.03943157913573587
p_ao_mean,"('ao.c', 'lv.E_pas')",S2,0.03015364606095331,0.041332660507446196
p_ao_mean,"('ao.c', 'lv.E_act')",S2,0.0193535272631708,0.04383453508198024
p_ao_mean,"('ao.c', 'lv.k_pas')",S2,0.021757842438881903,0.052043806046488256
p_ao_mean,"('art.r', 'art.c')",S2,-0.026022598210006798,0.2332615134152566
p_ao_mean,"('art.r', 'ven.r')",S2,-0.01836773478218099,0.21003184314572093
p_ao_mean,"('art.r', 'ven.c')",S2,-0.0449646263308387,0.19845787259314462
p_ao_mean,"('art.r', 'av.r')",S2,-0.016243850281025367,0.21178626468350525
p_ao_mean,"('art.r', 'mv.r')",S2,-0.04410645444090068,0.21240213696529414
p_ao_mean,"('art.r', 'la.E_pas')",S2,-0.00953865333068956,0.21190047939395795
p_ao_mean,"('art.r', 'la.E_act')",S2,-0.014974411182166678,0.21254118589727944
p_ao_mean,"('art.r', 'la.k_pas')",S2,0.030461044366233425,0.24935995639391345
p_ao_mean,"('art.r', 'lv.E_pas')",S2,-0.00048360472314017827,0.2021441749034692
p_ao_mean,"('art.r', 'lv.E_act')",S2,-0.038012012451936514,0.23041409249627862
p_ao_mean,"('art.r', 'lv.k_pas')",S2,-0.0011875338780910627,0.25410485556462137
p_ao_mean,"('art.c', 'ven.r')",S2,0.03196782891064925,0.17598033052546233
p_ao_mean,"('art.c', 'ven.c')",S2,0.019080498918136124,0.18205669686070178
p_ao_mean,"('art.c', 'av.r')",S2,0.03460023943970054,0.17616295352280334
p_ao_mean,"('art.c', 'mv.r')",S2,0.033590704060495705,0.18278566162921273
p_ao_mean,"('art.c', 'la.E_pas')",S2,0.03577859012178756,0.1779009175185941
p_ao_mean,"('art.c', 'la.E_act')",S2,0.029093241008548362,0.17673433921880294
p_ao_mean,"('art.c', 'la.k_pas')",S2,-0.051107525902391204,0.15262826702614352
p_ao_mean,"('art.c', 'lv.E_pas')",S2,0.045052123703211024,0.1793378543049928
p_ao_mean,"('art.c', 'lv.E_act')",S2,0.010094366882960296,0.18635919464261272
p_ao_mean,"('art.c', 'lv.k_pas')",S2,-0.07017778837032779,0.19411254424295174
p_ao_mean,"('ven.r', 'ven.c')",S2,0.0037283075953898903,0.01630394607130247
p_ao_mean,"('ven.r', 'av.r')",S2,0.006978741117119412,0.017292766004389237
p_ao_mean,"('ven.r', 'mv.r')",S2,0.007298803063374635,0.017552516260969007
p_ao_mean,"('ven.r', 'la.E_pas')",S2,0.006689800167250172,0.01761709537115221
