output,parameter,index,value,confidence
p_art_min,ao.r,ST,0.01036496592532245,0.00566156928715427
p_art_min,ao.c,ST,0.0035136823820870696,0.001848721721800087
p_art_min,art.r,ST,0.36457743509876095,0.20047975987756508
p_art_min,art.c,ST,0.038301338550805336,0.01956906207000262
p_art_min,ven.r,ST,0.0006508114707778853,0.00048383085909519324
p_art_min,ven.c,ST,0.0849426636236941,0.044429365461425833
p_art_min,av.r,ST,1.3145689798549776e-05,6.042888945772741e-06
p_art_min,mv.r,ST,0.003908083970467186,0.0023532752400718298
p_art_min,la.E_pas,ST,0.0023226004880709194,0.0014766118540772972
p_art_min,la.E_act,ST,0.0006562722319011954,0.0003814982624368056
p_art_min,la.k_pas,ST,0.12433642219531338,0.07313278402655733
p_art_min,lv.E_pas,ST,0.030296063110753543,0.015343268791291002
p_art_min,lv.E_act,ST,0.1289912617172731,0.06770973977069
p_art_min,lv.k_pas,ST,0.19050493357563622,0.09861329057309792
p_art_min,ao.r,S1,0.03297735829941009,0.0400019732799648
p_art_min,ao.c,S1,-0.009447718166397417,0.03711968152614512
p_art_min,art.r,S1,0.41628610647771597,0.2515429916768331
p_art_min,art.c,S1,0.09168934532304321,0.09149157077588667
p_art_min,ven.r,S1,0.0010885835675184911,0.009057129297749721
p_art_min,ven.c,S1,0.10214109920664553,0.11946364022296418
p_art_min,av.r,S1,0.0004942269372733263,0.0013749030710868988
p_art_min,mv.r,S1,0.02731803174249312,0.02591962010325475
p_art_min,la.E_pas,S1,-0.006410801520498247,0.020727046411086126
p_art_min,la.E_act,S1,0.01279097878396403,0.013279290112629417
p_art_min,la.k_pas,S1,0.026474295722130278,0.19492986697790943
p_art_min,lv.E_pas,S1,-0.005600410705558127,0.0822400596660825
p_art_min,lv.E_act,S1,0.06312428476508614,0.13526191516025104
p_art_min,lv.k_pas,S1,0.24646039754672833,0.18892296228521824
p_art_min,"('ao.r', 'ao.c')",S2,-0.045376163201545194,0.07353649132842294
p_art_min,"('ao.r', 'art.r')",S2,-0.053889916227783996,0.09857139197445303
p_art_min,"('ao.r', 'art.c')",S2,-0.044652438955825505,0.06836244260199378
p_art_min,"('ao.r', 'ven.r')",S2,-0.04324770172825379,0.07332519583777773
p_art_min,"('ao.r', 'ven.c')",S2,-0.0443209939048638,0.06580459473309731
p_art_min,"('ao.r', 'av.r')",S2,-0.04380107811808162,0.07378809743302488
