output,parameter,index,value,confidence
v_ao_mean,ao.r,ST,0.003482633044628377,0.002201868456168526
v_ao_mean,ao.c,ST,0.5730524942393077,0.20567531592361615
v_ao_mean,art.r,ST,0.07823275164069286,0.045233394779389875
v_ao_mean,art.c,ST,0.03803392007728079,0.020873238777208324
v_ao_mean,ven.r,ST,0.0004090240198378746,0.00029760952082205427
v_ao_mean,ven.c,ST,0.04659030694881367,0.028837820908173675
v_ao_mean,av.r,ST,6.511925301072932e-06,2.4758085104882525e-06
v_ao_mean,mv.r,ST,0.00252753820822206,0.0013746809221899716
v_ao_mean,la.E_pas,ST,0.001462753503349264,0.0008320851734399553
v_ao_mean,la.E_act,ST,0.0003438234475159859,0.0002981208820003534
v_ao_mean,la.k_pas,ST,0.07551117602180542,0.03597319297491798
v_ao_mean,lv.E_pas,ST,0.015358586290926493,0.005073055183133872
v_ao_mean,lv.E_act,ST,0.06692039850819351,0.02853103808300861
v_ao_mean,lv.k_pas,ST,0.09901454076946999,0.049991208716531434
v_ao_mean,ao.r,S1,0.00603567938590179,0.03446207768758299
v_ao_mean,ao.c,S1,0.46721390114248845,0.2698935678983389
v_ao_mean,art.r,S1,0.2135844167849168,0.0887357736119862
v_ao_mean,art.c,S1,0.08038123705495409,0.08652609814088555
v_ao_mean,ven.r,S1,0.0036261480477162477,0.008274137088717682
v_ao_mean,ven.c,S1,0.06207914645682042,0.09408269947222203
v_ao_mean,av.r,S1,-4.1285549096562505e-05,0.001147036634593292
v_ao_mean,mv.r,S1,0.007065687000154943,0.02100077408836144
v_ao_mean,la.E_pas,S1,-0.0007507380088328343,0.017987492683534702
v_ao_mean,la.E_act,S1,0.0035551629429253838,0.00640435399835687
v_ao_mean,la.k_pas,S1,-0.0012450508290168267,0.141330421538376
v_ao_mean,lv.E_pas,S1,-0.0036494438844203,0.06368996098760593
v_ao_mean,lv.E_act,S1,0.0747557618954118,0.12479289457679935
v_ao_mean,lv.k_pas,S1,0.16349257522983937,0.13639897989516284
v_ao_mean,"('ao.r', 'ao.c')",S2,0.0014022555310994056,0.049253431148946356
v_ao_mean,"('ao.r', 'art.r')",S2,-0.00010919978205733982,0.05300614110926359
v_ao_mean,"('ao.r', 'art.c')",S2,-0.0021576099769603924,0.052071392518141225
v_ao_mean,"('ao.r', 'ven.r')",S2,-0.0009694261080198862,0.04862299103569102
