output,parameter,index,value,confidence
q_ven_mean,ao.r,ST,0.017005084480778882,0.0066096001067599735
q_ven_mean,ao.c,ST,0.00204857756498006,0.0008959284647447151
q_ven_mean,art.r,ST,0.21985932867809163,0.07958152566310774
q_ven_mean,art.c,ST,0.057854750143576994,0.02259814422405073
q_ven_mean,ven.r,ST,0.0014028776876265367,0.000760398657519011
q_ven_mean,ven.c,ST,0.08936886328751009,0.03626990204572474
q_ven_mean,av.r,ST,6.865838656678664e-06,3.20729733279965e-06
q_ven_mean,mv.r,ST,0.005121458980236012,0.002211354857808402
q_ven_mean,la.E_pas,ST,0.0030157252045203012,0.0015389869107659594
q_ven_mean,la.E_act,ST,0.0012469746806815889,0.0005173610390209612
q_ven_mean,la.k_pas,ST,0.1672751991705359,0.053574390123249147
q_ven_mean,lv.E_pas,ST,0.04413347232113948,0.01610856397942738
q_ven_mean,lv.E_act,ST,0.15229518145234244,0.05528856438482791
q_ven_mean,lv.k_pas,ST,0.2333367986702709,0.08171228557174809
q_ven_mean,ao.r,S1,0.0186018918613011,0.03899154683702804
q_ven_mean,ao.c,S1,0.009745404708089248,0.01747089528462053
q_ven_mean,art.r,S1,0.1606637509309223,0.145528096241088
q_ven_mean,art.c,S1,0.03305273617942442,0.07579974588149399
q_ven_mean,ven.r,S1,-0.0058567340588587475,0.01235465586894736
q_ven_mean,ven.c,S1,0.05673019408931822,0.08585055503066699
q_ven_mean,av.r,S1,-0.0003593519608520855,0.0007260366801125638
q_ven_mean,mv.r,S1,0.0136656944110065,0.023472600009360283
q_ven_mean,la.E_pas,S1,0.006071489576965748,0.017357937873971916
q_ven_mean,la.E_act,S1,-0.004342105883759967,0.01436192423462617
q_ven_mean,la.k_pas,S1,0.1268937657930751,0.14557834663379937
q_ven_mean,lv.E_pas,S1,0.06118349125947188,0.07628427693779469
q_ven_mean,lv.E_act,S1,0.14581406877571165,0.10704030995013991
q_ven_mean,lv.k_pas,S1,0.169409169552461,0.14384529720840666
q_ven_mean,"('ao.r', 'ao.c')",S2,0.0031063233209783093,0.0622986701795808
q_ven_mean,"('ao.r', 'art.r')",S2,0.007232243700087404,0.06074331361411393
q_ven_mean,"('ao.r', 'art.c')",S2,0.004230176921323325,0.05883666120353238
q_ven_mean,"('ao.r', 'ven.r')",S2,0.005187250574426453,0.061948993643713424
q_ven_mean,"('ao.r', 'ven.c')",S2,0.008499304981149577,0.06414793740882554
q_ven_mean,"('ao.r', 'av.r')",S2,0.004166266767850621,0.061980160896527366
q_ven_mean,"('ao.r', 'mv.r')",S2,0.0037377505891413327,0.061268004093360987
q_ven_mean,"('ao.r', 'la.E_pas')",S2,0.0024434613446381323,0.062295666746113976
q_ven_mean,"('ao.r', 'la.E_act')",S2,0.0044397147249652935,0.06256027266389765
q_ven_mean,"('ao.r', 'la.k_pas')",S2,0.004397097537355843,0.06911949127610993
q_ven_mean,"('ao.r', 'lv.E_pas')",S2,-0.0020129219988356817,0.06512142082640414
q_ven_mean,"('ao.r', 'lv.E_act')",S2,-0.0006846764846285547,0.06652394471557892
q_ven_mean,"('ao.r', 'lv.k_pas')",S2,0.0015859464243975774,0.06732768852808535
q_ven_mean,"('ao.c', 'art.r')",S2,-0.01303942470609834,0.027372928692409787
q_ven_mean,"('ao.c', 'art.c')",S2,-0.015523706567964451,0.025702286541531207
