output,parameter,index,value,confidence
T_max,ao.r,ST,0.028079672891188658,0.0009389921133990723
T_max,ao.c,ST,0.003009039124459567,0.0001203755918739878
T_max,art.r,ST,0.2638537646215965,0.007704295639394303
T_max,art.c,ST,0.39500569664317386,0.012639027015271595
T_max,ven.r,ST,0.00038078252758304407,2.5381463138506858e-05
T_max,ven.c,ST,0.008737419619183449,0.0003425644525937748
T_max,av.r,ST,0.0002867823475600441,1.8287824297689164e-05
T_max,mv.r,ST,0.0003507517583334606,1.999243979200456e-05
T_max,la.E_pas,ST,0.0003158951404340806,1.7433999993411828e-05
T_max,la.E_act,ST,0.00031605507137136366,1.7154133372742814e-05
T_max,la.k_pas,ST,0.005461985447992541,0.0002786707901435235
T_max,lv.E_pas,ST,0.002164741602807565,9.411190295953709e-05
T_max,lv.E_act,ST,0.005019535644861672,0.00024590517556772023
T_max,lv.k_pas,ST,0.3171418750196856,0.01171709776701803
T_max,ao.r,S1,0.026844870523907535,0.004698578692326963
T_max,ao.c,S1,0.0025033139398284456,0.0019621097912739453
T_max,art.r,S1,0.2589950033381162,0.013706264766066897
T_max,art.c,S1,0.3821173315914787,0.01613474725511598
T_max,ven.r,S1,-3.1882111822408196e-05,0.0005983876990501861
T_max,ven.c,S1,0.0078861079181698,0.0027466970236017115
T_max,av.r,S1,-0.00014368623363055047,0.0005218259189359233
T_max,mv.r,S1,-0.00010534163341608101,0.000712788548316981
T_max,la.E_pas,S1,-3.5984000319777292e-06,0.0005481984080169043
T_max,la.E_act,S1,0.00015705326622875875,0.0005911939132175067
T_max,la.k_pas,S1,0.0042424582543668845,0.00231982872646839
T_max,lv.E_pas,S1,0.0018460986218436263,0.0014551450210678943
T_max,lv.E_act,S1,0.0011644584488812657,0.002333381746549774
T_max,lv.k_pas,S1,0.2921473872496642,0.016258281519146454
T_max,"('ao.r', 'ao.c')",S2,0.00018869710838591161,0.0066966277877194965
T_max,"('ao.r', 'art.r')",S2,0.00034252572433773887,0.007580494488847733
T_max,"('ao.r', 'art.c')",S2,0.0002718848494681625,0.0077698148515022965
T_max,"('ao.r', 'ven.r')",S2,0.00020055991526808872,0.006751665593243824
T_max,"('ao.r', 'ven.c')",S2,0.0005642889254343988,0.006810674003459712
T_max,"('ao.r', 'av.r')",S2,0.00016564867199223113,0.0067387012277055295
T_max,"('ao.r', 'mv.r')",S2,0.00012330657711039,0.006717647640744045
T_max,"('ao.r', 'la.E_pas')",S2,0.00014605791071734429,0.006729534047424991
T_max,"('ao.r', 'la.E_act')",S2,0.00013898370414419984,0.0067405727157586635
T_max,"('ao.r', 'la.k_pas')",S2,0.00021657166363041498,0.006660136714696954
T_max,"('ao.r', 'lv.E_pas')",S2,0.00012604402565302686,0.006684445869569035
