output,parameter,index,value,confidence
T_min,ao.r,ST,0.028852160450097076,0.00093325763752288
T_min,ao.c,ST,0.0031417295983510677,0.00014448296832596838
T_min,art.r,ST,0.2669593893060578,0.007665717035157565
T_min,art.c,ST,0.3945078558664392,0.013061177823502365
T_min,ven.r,ST,0.0005578702430892782,3.26639016342381e-05
T_min,ven.c,ST,0.008274639975158761,0.0003312118286861794
T_min,av.r,ST,0.0003907529934689379,2.1988804340895223e-05
T_min,mv.r,ST,0.0004888286880874552,2.208378278547548e-05
T_min,la.E_pas,ST,0.0003804480512325366,2.0467715127942292e-05
T_min,la.E_act,ST,0.0004555922510030076,2.4010765575708343e-05
T_min,la.k_pas,ST,0.005775006154774543,0.00030968048195774005
T_min,lv.E_pas,ST,0.0021514615525467158,0.00010654117559993018
T_min,lv.E_act,ST,0.005278157676839343,0.00025835299810403014
T_min,lv.k_pas,ST,0.3155343387114802,0.013448847061924493
T_min,ao.r,S1,0.027166711812293423,0.005500442023243801
T_min,ao.c,S1,0.002671741549875159,0.0017417054746214273
T_min,art.r,S1,0.2603677818993461,0.01464153299869822
T_min,art.c,S1,0.38109434469964104,0.01718024490532443
T_min,ven.r,S1,6.193953698946024e-05,0.0007220904482300427
T_min,ven.c,S1,0.007683505308946523,0.0027076515444321905
T_min,av.r,S1,-6.162633211491976e-05,0.0005353664001288176
T_min,mv.r,S1,-0.00028336966096912134,0.0006380461396317924
T_min,la.E_pas,S1,-1.4476802120148867e-06,0.0005639690102961669
T_min,la.E_act,S1,0.0002752323098322097,0.0007610150112616215
T_min,la.k_pas,S1,0.004097745039390874,0.002075743705357659
T_min,lv.E_pas,S1,0.0020494033099402575,0.0015831416606436155
T_min,lv.E_act,S1,0.0011041054917451162,0.0023181482793962014
T_min,lv.k_pas,S1,0.28915492827614053,0.01623381038754573
T_min,"('ao.r', 'ao.c')",S2,0.0003166637309807347,0.00827839003847466
T_min,"('ao.r', 'art.r')",S2,0.00044927208490830317,0.008929224469095177
T_min,"('ao.r', 'art.c')",S2,0.00025087948947816185,0.010077614553296347
T_min,"('ao.r', 'ven.r')",S2,0.0002668027264539318,0.008262060088275274
T_min,"('ao.r', 'ven.c')",S2,0.0006398600325793185,0.00823428981543968
T_min,"('ao.r', 'av.r')",S2,0.0002746851395866433,0.008228896418186438
T_min,"('ao.r', 'mv.r')",S2,0.00015975134762309271,0.008246008086280933
T_min,"('ao.r', 'la.E_pas')",S2,0.00023325656868385613,0.008236783057580915
T_min,"('ao.r', 'la.E_act')",S2,0.0002001225121579441,0.008221527619647666
T_min,"('ao.r', 'la.k_pas')",S2,0.00030182416081302003,0.008340709416880157
T_min,"('ao.r', 'lv.E_pas')",S2,0.00021895187624795635,0.008280565791865402
T_min,"('ao.r', 'lv.E_act')",S2,0.00035039568304665557,0.008137520437129281
T_min,"('ao.r', 'lv.k_pas')",S2,0.0005587063042691298,0.00862761749153211
T_min,"('ao.c', 'art.r')",S2,-0.0008412767372461549,0.002718764201405617
T_min,"('ao.c', 'art.c')",S2,-0.0008524703615863105,0.0027294756168420803
T_min,"('ao.c', 'ven.r')",S2,-0.0009126141380329381,0.0024526884103517233
T_min,"('ao.c', 'ven.c')",S2,-0.0008121526780651006,0.0024346985096341356
T_min,"('ao.c', 'av.r')",S2,-0.0008770568487468421,0.002448157163144933
T_min,"('ao.c', 'mv.r')",S2,-0.0009100308745484556,0.00244932247386822
T_min,"('ao.c', 'la.E_pas')",S2,-0.0008895771076989796,0.0024433316987647006
T_min,"('ao.c', 'la.E_act')",S2,-0.0009144434679558395,0.0024437785441764445
T_min,"('ao.c', 'la.k_pas')",S2,-0.0008334853253430447,0.002442361059356587
T_min,"('ao.c', 'lv.E_pas')",S2,-0.0008920223032632566,0.0024583911337277137
T_min,"('ao.c', 'lv.E_act')",S2,-0.0009001913679663695,0.0024821350879706224
T_min,"('ao.c', 'lv.k_pas')",S2,-0.00036631870090214624,0.0025560507783718715
T_min,"('art.r', 'art.c')",S2,0.0004284207430553799,0.023299814348241903
T_min,"('art.r', 'ven.r')",S2,-0.00021860743764290017,0.020015295986661113
T_min,"('art.r', 'ven.c')",S2,-0.00012393031654179577,0.020665963079325358
T_min,"('art.r', 'av.r')",S2,-0.00028368709630716957,0.020152862901057274
T_min,"('art.r', 'mv.r')",S2,-1.955337993089475e-05,0.020088537312210334
T_min,"('art.r', 'la.E_pas')",S2,-0.00033461280138810516,0.020107410889219832
T_min,"('art.r', 'la.E_act')",S2,-0.0001626802572479514,0.020092874111089447
T_min,"('art.r', 'la.k_pas')",S2,-6.124867808411129e-05,0.02016007616056753
T_min,"('art.r', 'lv.E_pas')",S2,-0.0001513202803542068,0.02033003200822025
T_min,"('art.r', 'lv.E_act')",S2,-3.9638929025259326e-05,0.02019604906539783
T_min,"('art.r', 'lv.k_pas')",S2,0.004305357338315996,0.024055351030821227
