output,parameter,index,value,confidence
v_ao_min,ao.r,ST,0.0017211784916735878,6.815498346291166e-05
v_ao_min,ao.c,ST,0.24494244760879874,0.007300561910625498
v_ao_min,art.r,ST,0.07928950915004922,0.0028572267766498196
v_ao_min,art.c,ST,0.00710122164543744,0.00046677604772673616
v_ao_min,ven.r,ST,0.000697102761483746,3.290907736887552e-05
v_ao_min,ven.c,ST,0.014576410377806166,0.0005855884000836507
v_ao_min,av.r,ST,1.0060978209589279e-05,5.342504681290805e-07
v_ao_min,mv.r,ST,0.00046044424059554095,2.6728606288462637e-05
v_ao_min,la.E_pas,ST,0.0005094491054189949,2.074735829021246e-05
v_ao_min,la.E_act,ST,0.0004796529198816923,2.279184169942888e-05
v_ao_min,la.k_pas,ST,0.037369084945908536,0.0015076341374729255
v_ao_min,lv.E_pas,ST,0.009902460965808442,0.00038341128622451583
v_ao_min,lv.E_act,ST,0.03330662930825019,0.0011410659731056602
v_ao_min,lv.k_pas,ST,0.594798372943034,0.019160394295877653
v_ao_min,ao.r,S1,0.001760559989944159,0.0015102769411767692
v_ao_min,ao.c,S1,0.23071834809579264,0.0144748121524275
v_ao_min,art.r,S1,0.07244052377703744,0.008038793602305487
v_ao_min,art.c,S1,0.0030433576625358977,0.00248430376392723
v_ao_min,ven.r,S1,0.00039662054758474657,0.0008435992867975071
v_ao_min,ven.c,S1,0.01195215898827118,0.0033692395772758474
v_ao_min,av.r,S1,-4.69852166906909e-05,0.00010394460888036314
v_ao_min,mv.r,S1,0.00032007777514891895,0.0007016149723853942
v_ao_min,la.E_pas,S1,0.000389746859070663,0.0006258245866252218
v_ao_min,la.E_act,S1,0.0004069936416509739,0.0007112723356410246
v_ao_min,la.k_pas,S1,0.03535394525114434,0.006152163096131571
v_ao_min,lv.E_pas,S1,0.01026848735078797,0.0029141372551872266
v_ao_min,lv.E_act,S1,0.031954721042132705,0.005410374243253103
v_ao_min,lv.k_pas,S1,0.5715721306759104,0.023277727652161965
v_ao_min,"('ao.r', 'ao.c')",S2,-0.0001352358908485729,0.002471325750066915
v_ao_min,"('ao.r', 'art.r')",S2,-0.00012978600994184575,0.0022075438076742428
v_ao_min,"('ao.r', 'art.c')",S2,-0.00014016043048973876,0.0021578267356064953
v_ao_min,"('ao.r', 'ven.r')",S2,-0.00013442559680520327,0.002159805036354581
v_ao_min,"('ao.r', 'ven.c')",S2,-0.00012043863933382422,0.0021413994789211215
v_ao_min,"('ao.r', 'av.r')",S2,-0.0001354503484186611,0.002153132497895005
v_ao_min,"('ao.r', 'mv.r')",S2,-0.0001376916173727643,0.0021584031116727814
v_ao_min,"('ao.r', 'la.E_pas')",S2,-0.00013300882557134804,0.0021492844463727257
v_ao_min,"('ao.r', 'la.E_act')",S2,-0.0001358114381068442,0.002146395663915201
v_ao_min,"('ao.r', 'la.k_pas')",S2,-0.00012681188305527918,0.002188700159972209
v_ao_min,"('ao.r', 'lv.E_pas')",S2,-0.00014432301287456602,0.0021585345775093647
v_ao_min,"('ao.r', 'lv.E_act')",S2,-0.00025170709550277615,0.0021644356986680892
v_ao_min,"('ao.r', 'lv.k_pas')",S2,-7.677634820890678e-05,0.002509433925371159
v_ao_min,"('ao.c', 'art.r')",S2,-0.0009032440822495658,0.020977621565822897
v_ao_min,"('ao.c', 'art.c')",S2,-0.0024078706938044786,0.019283251425941467
v_ao_min,"('ao.c', 'ven.r')",S2,-0.002794058307588614,0.019016473158102
v_ao_min,"('ao.c', 'ven.c')",S2,-0.002134812956790884,0.018872392062667734
v_ao_min,"('ao.c', 'av.r')",S2,-0.002663332205824794,0.019059562611793947
v_ao_min,"('ao.c', 'mv.r')",S2,-0.0027129293913083215,0.01911283888046381
v_ao_min,"('ao.c', 'la.E_pas')",S2,-0.002677032948479282,0.019127927842708062
v_ao_min,"('ao.c', 'la.E_act')",S2,-0.002838905286509011,0.019070189782124783
v_ao_min,"('ao.c', 'la.k_pas')",S2,-0.001857107188256532,0.01983127302352198
v_ao_min,"('ao.c', 'lv.E_pas')",S2,-0.0033528693938062685,0.01901763332422782
v_ao_min,"('ao.c', 'lv.E_act')",S2,-0.00284925460968552,0.018852771499837793
v_ao_min,"('ao.c', 'lv.k_pas')",S2,0.010798159091763182,0.026674852361964287
v_ao_min,"('art.r', 'art.c')",S2,0.0005315259263306282,0.012459796231850454
v_ao_min,"('art.r', 'ven.r')",S2,0.0008358139771115444,0.012497206441023171
