output,parameter,index,value,confidence
v_lv_min,ao.r,ST,0.011570071780557977,0.0004808056524071694
v_lv_min,ao.c,ST,0.005852285914689259,0.00028741976460677267
v_lv_min,art.r,ST,0.005064573470783142,0.00020194044506698908
v_lv_min,art.c,ST,0.009126405718138476,0.0005460598041725413
v_lv_min,ven.r,ST,0.0008621230616066692,3.783730708987889e-05
v_lv_min,ven.c,ST,0.014665649730216175,0.0006042915576918886
v_lv_min,av.r,ST,6.86328052544917e-06,2.936313701768483e-07
v_lv_min,mv.r,ST,0.0005822548847003442,3.350198410553084e-05
v_lv_min,la.E_pas,ST,0.0006897762541930228,2.6204717364785523e-05
v_lv_min,la.E_act,ST,0.0006284834278799119,2.7365919479875437e-05
v_lv_min,la.k_pas,ST,0.04838506382037215,0.0019480551968199906
v_lv_min,lv.E_pas,ST,0.012216938168006581,0.00042623786390051356
v_lv_min,lv.E_act,ST,0.11318465407287406,0.004835820625426623
v_lv_min,lv.k_pas,ST,0.8000423113609718,0.028615399145011877
v_lv_min,ao.r,S1,0.009968859136400075,0.00327730235612388
v_lv_min,ao.c,S1,0.004548295359205332,0.0024845543740683058
v_lv_min,art.r,S1,0.003841498064336057,0.00222606518606477
v_lv_min,art.c,S1,0.004820183093498357,0.0028816244694923766
v_lv_min,ven.r,S1,0.00034026093814742584,0.0009884395924653223
v_lv_min,ven.c,S1,0.012054068851755383,0.004079467839108759
v_lv_min,av.r,S1,7.50210230222364e-06,8.79807879594114e-05
v_lv_min,mv.r,S1,0.00032978528302595367,0.0007703412679453471
v_lv_min,la.E_pas,S1,0.0005727864309976042,0.0007113538459536433
v_lv_min,la.E_act,S1,0.0005800075373326291,0.0007664387443195955
v_lv_min,la.k_pas,S1,0.04575457270356152,0.006559552675168484
v_lv_min,lv.E_pas,S1,0.011980199471582886,0.0034965587499913185
v_lv_min,lv.E_act,S1,0.09918121743705621,0.009503492403307568
v_lv_min,lv.k_pas,S1,0.7764663702177075,0.028929285834483204
v_lv_min,"('ao.r', 'ao.c')",S2,-9.444786138769392e-05,0.004795208476069143
v_lv_min,"('ao.r', 'art.r')",S2,-0.00019707226031105089,0.004767710065064254
v_lv_min,"('ao.r', 'art.c')",S2,-0.00020478017456793812,0.004737599560382009
v_lv_min,"('ao.r', 'ven.r')",S2,-0.00023566123965617454,0.004788511550589873
v_lv_min,"('ao.r', 'ven.c')",S2,-0.0002632213982426204,0.004862124744857935
v_lv_min,"('ao.r', 'av.r')",S2,-0.000253084443138348,0.004775852984077093
v_lv_min,"('ao.r', 'mv.r')",S2,-0.00024260260467931798,0.004794127833115459
v_lv_min,"('ao.r', 'la.E_pas')",S2,-0.0002471579068726805,0.00478743760801911
v_lv_min,"('ao.r', 'la.E_act')",S2,-0.0002523290925975422,0.004770202530107471
v_lv_min,"('ao.r', 'la.k_pas')",S2,-0.00015672483945466942,0.004925787225231015
v_lv_min,"('ao.r', 'lv.E_pas')",S2,-0.00022898068173733514,0.004875699999804396
v_lv_min,"('ao.r', 'lv.E_act')",S2,-0.0005603728364745875,0.005221053908526074
v_lv_min,"('ao.r', 'lv.k_pas')",S2,0.001360892212893261,0.00672408001641838
v_lv_min,"('ao.c', 'art.r')",S2,0.0006883726169465594,0.003607986064437577
v_lv_min,"('ao.c', 'art.c')",S2,0.0006899631811119545,0.0035777057110078082
v_lv_min,"('ao.c', 'ven.r')",S2,0.0007115237347355952,0.0035664813917381595
v_lv_min,"('ao.c', 'ven.c')",S2,0.0005821920339524854,0.0036751073764095246
v_lv_min,"('ao.c', 'av.r')",S2,0.0007035543662137115,0.0035749074639895243
v_lv_min,"('ao.c', 'mv.r')",S2,0.0007070091124089939,0.0035765899213834316
v_lv_min,"('ao.c', 'la.E_pas')",S2,0.0006889168422236152,0.0035789799766225063
v_lv_min,"('ao.c', 'la.E_act')",S2,0.0007312885787669106,0.003565912220747995
v_lv_min,"('ao.c', 'la.k_pas')",S2,0.0006655457157592332,0.0035941130275281385
v_lv_min,"('ao.c', 'lv.E_pas')",S2,0.0005938734560859606,0.003571397129996247
v_lv_min,"('ao.c', 'lv.E_act')",S2,0.00040697006649051404,0.003646287745132607
v_lv_min,"('ao.c', 'lv.k_pas')",S2,0.0008585835018286581,0.00501663733082972
v_lv_min,"('art.r', 'art.c')",S2,0.0008724366488924813,0.0030201907699450277
v_lv_min,"('art.r', 'ven.r')",S2,0.000486380975141571,0.0030639060824225496
v_lv_min,"('art.r', 'ven.c')",S2,0.0004958417907469578,0.003077998266319227
v_lv_min,"('art.r', 'av.r')",S2,0.00048801364108486627,0.0030580069445337314
v_lv_min,"('art.r', 'mv.r')",S2,0.000486132060320737,0.003059473122377301
v_lv_min,"('art.r', 'la.E_pas')",S2,0.0004967063618242448,0.003055854839391528
v_lv_min,"('art.r', 'la.E_act')",S2,0.0004915215161441207,0.003051313042569888
v_lv_min,"('art.r', 'la.k_pas')",S2,0.0005101317941008238,0.003092743298700046
v_lv_min,"('art.r', 'lv.E_pas')",S2,0.000508355992443919,0.0030685886737722634
v_lv_min,"('art.r', 'lv.E_act')",S2,0.00047369863616540664,0.0032296195105129435
v_lv_min,"('art.r', 'lv.k_pas')",S2,0.0010596360372540081,0.0037109154151726076
v_lv_min,"('art.c', 'ven.r')",S2,0.0006274980927780493,0.0055231116933884845
v_lv_min,"('art.c', 'ven.c')",S2,0.0006250295450745541,0.00560898081475968
v_lv_min,"('art.c', 'av.r')",S2,0.0006212752704040637,0.005538710337996847
