output,parameter,index,value,confidence
T_min,ao.r,ST,0.3358758242342704,0.024630678650715398
T_min,ao.c,ST,0.000984553955028284,7.614235545727198e-05
T_min,art.r,ST,0.03053277583719508,0.0023660234832095757
T_min,art.c,ST,0.6152623101208707,0.04503527166989525
T_min,ven.r,ST,0.0005348341740019343,4.150996083831581e-05
T_min,ven.c,ST,0.0004776357284643221,3.8829012032234194e-05
T_min,av.r,ST,0.001104742034095212,7.808568127124063e-05
T_min,mv.r,ST,0.0001779592053304194,2.1873963224432235e-05
T_min,la.E_pas,ST,0.00015605336357787014,1.7053338526558305e-05
T_min,la.E_act,ST,0.004215291424644903,0.00035688417543006167
T_min,la.k_pas,ST,9.689407624559808e-05,1.3571186836305885e-05
T_min,lv.E_pas,ST,6.246333087629734e-05,4.880562076879948e-06
T_min,lv.E_act,ST,0.001304633840988486,0.00011557023974880182
T_min,lv.k_pas,ST,0.1485485619574641,0.01384078440990734
T_min,ao.r,S1,0.2898728950980727,0.03219161541386827
T_min,ao.c,S1,0.00013750147810786598,0.001912228374334241
T_min,art.r,S1,0.02985719202867456,0.0114526431892926
T_min,art.c,S1,0.48835375316852153,0.03962810029898529
T_min,ven.r,S1,-9.543726855374204e-05,0.0013389343861858983
T_min,ven.c,S1,0.0003302980741993305,0.0013727862866189228
T_min,av.r,S1,0.0004680226405372784,0.0020964779237330373
T_min,mv.r,S1,-0.0009783642546116714,0.0008398976537924401
T_min,la.E_pas,S1,-0.0004919121870953868,0.0007789531714103493
T_min,la.E_act,S1,0.003339445105632999,0.004342738804163123
T_min,la.k_pas,S1,8.61856661195638e-05,0.0006759387301233917
T_min,lv.E_pas,S1,-0.0002918394599093749,0.0004805948081054227
T_min,lv.E_act,S1,0.000826893668755069,0.002196837452462604
T_min,lv.k_pas,S1,0.04523601349296492,0.026806364849075427
T_min,"('ao.r', 'ao.c')",S2,-0.0029606424951600326,0.04511103920541287
T_min,"('ao.r', 'art.r')",S2,-0.003144275387535665,0.04675754899325816
T_min,"('ao.r', 'art.c')",S2,0.025256470484574967,0.05163594762855284
T_min,"('ao.r', 'ven.r')",S2,-0.002823056664336212,0.04522582463232583
T_min,"('ao.r', 'ven.c')",S2,-0.0030232636818747875,0.045375571915843856
T_min,"('ao.r', 'av.r')",S2,-0.002928499088891899,0.045649322724181096
T_min,"('ao.r', 'mv.r')",S2,-0.0016584072396306246,0.04542949715285963
