output,parameter,index,value,confidence
p_la_max,ao.r,ST,0.0007094760981254764,8.230995379478782e-05
p_la_max,ao.c,ST,0.0009195220435832703,9.51567701644384e-05
p_la_max,art.r,ST,0.005741019049066867,0.0005965488263387158
p_la_max,art.c,ST,0.01203945222520142,0.0011860425610655092
p_la_max,ven.r,ST,0.008914884880578436,0.0010197512110228534
p_la_max,ven.c,ST,0.048814117604214655,0.00398460610033171
p_la_max,av.r,ST,1.446755896279478e-05,2.5605407627730393e-06
p_la_max,mv.r,ST,0.0026010258530289074,0.00035367766551750444
p_la_max,la.E_pas,ST,0.006619465746888043,0.0005355637932127511
p_la_max,la.E_act,ST,0.012658432759835051,0.0010408611393285827
p_la_max,la.k_pas,ST,0.5495668427686516,0.037296791127826495
p_la_max,lv.E_pas,ST,0.0043304826260474735,0.00038648302815202256
p_la_max,lv.E_act,ST,0.007312862893168339,0.0006315341152247461
p_la_max,lv.k_pas,ST,0.4120807797780002,0.032814333420616376
p_la_max,ao.r,S1,3.5017862488682654e-05,0.0013739527069857509
p_la_max,ao.c,S1,0.00010041853768023836,0.002410595400838083
p_la_max,art.r,S1,0.006591912859933312,0.005381868749450312
p_la_max,art.c,S1,0.01060429994901435,0.006568308465678704
p_la_max,ven.r,S1,0.0034702709233420206,0.006381934008232349
p_la_max,ven.c,S1,0.04040495194750109,0.011134904802675032
p_la_max,av.r,S1,-0.0002747341412612751,0.0002467898023730273
p_la_max,mv.r,S1,0.001680761147603098,0.003229544102953946
p_la_max,la.E_pas,S1,0.005806515638405901,0.00520867853215765
p_la_max,la.E_act,S1,0.011843938421259498,0.00621124756037047
p_la_max,la.k_pas,S1,0.4930346052103114,0.04433239694360747
p_la_max,lv.E_pas,S1,0.0037425720308104575,0.0038696430673912556
p_la_max,lv.E_act,S1,0.006898625678372007,0.005729572830184434
p_la_max,lv.k_pas,S1,0.35156823159443945,0.032796218727767695
p_la_max,"('ao.r', 'ao.c')",S2,0.0006717492591248642,0.0020289340419306287
p_la_max,"('ao.r', 'art.r')",S2,0.0007348169136874713,0.002060505249428192
p_la_max,"('ao.r', 'art.c')",S2,0.0006912442418798726,0.0020488427148429595
p_la_max,"('ao.r', 'ven.r')",S2,0.0006482140284911233,0.00199548080560035
p_la_max,"('ao.r', 'ven.c')",S2,0.00040652380170982244,0.002051681404990344
p_la_max,"('ao.r', 'av.r')",S2,0.000673683416205799,0.0020200633443723964
p_la_max,"('ao.r', 'mv.r')",S2,0.0007061374691373001,0.002035465435672788
p_la_max,"('ao.r', 'la.E_pas')",S2,0.0006796340382475303,0.002050463159063159
p_la_max,"('ao.r', 'la.E_act')",S2,0.0006101446086322296,0.0019829444496149377
p_la_max,"('ao.r', 'la.k_pas')",S2,0.0010391073364833803,0.002849059174574878
p_la_max,"('ao.r', 'lv.E_pas')",S2,0.0006515449287789938,0.0020257357689298086
p_la_max,"('ao.r', 'lv.E_act')",S2,0.0006118188115569467,0.0020299177874011096
p_la_max,"('ao.r', 'lv.k_pas')",S2,0.0006505865466803762,0.002322628276640338
p_la_max,"('ao.c', 'art.r')",S2,0.00012065747701504956,0.0034016672192183875
p_la_max,"('ao.c', 'art.c')",S2,0.0001758336979340424,0.0033899362616523878
p_la_max,"('ao.c', 'ven.r')",S2,0.00010852379149361036,0.003380665876893967
p_la_max,"('ao.c', 'ven.c')",S2,3.835502246921779e-05,0.0033603516752678123
p_la_max,"('ao.c', 'av.r')",S2,0.00010025097049043508,0.003371364111585132
p_la_max,"('ao.c', 'mv.r')",S2,8.227315935655432e-05,0.0033939610129606846
p_la_max,"('ao.c', 'la.E_pas')",S2,0.0001436214076825709,0.0033662195953805827
