output,parameter,index,value,confidence
p_ven_mean,ao.r,ST,0.0008999483906248285,5.788301608968259e-05
p_ven_mean,ao.c,ST,0.0011392723288890275,9.73306220752735e-05
p_ven_mean,art.r,ST,0.005528544052764503,0.00032649569326620003
p_ven_mean,art.c,ST,0.30340809789872014,0.018737920355761377
p_ven_mean,ven.r,ST,0.0029713412734012493,0.00016633090188673835
p_ven_mean,ven.c,ST,0.002095500469468946,0.000122696383118106
p_ven_mean,av.r,ST,0.00010738743581570494,9.88067670920883e-06
p_ven_mean,mv.r,ST,7.186102547318228e-06,5.588787417795027e-07
p_ven_mean,la.E_pas,ST,0.008424511776123368,0.0005785774017522672
p_ven_mean,la.E_act,ST,0.000342749033881201,2.3840034614756555e-05
p_ven_mean,la.k_pas,ST,3.2497437324715684e-05,2.7376241697327294e-06
p_ven_mean,lv.E_pas,ST,0.0006502735153890424,3.464616836839302e-05
p_ven_mean,lv.E_act,ST,0.010366665084359253,0.0005613235186023905
p_ven_mean,lv.k_pas,ST,0.6692079018833755,0.04110812006999647
p_ven_mean,ao.r,S1,0.0008728307429874714,0.0017817532144731249
p_ven_mean,ao.c,S1,0.0010197910870927572,0.001998773777665152
p_ven_mean,art.r,S1,0.004967090095089538,0.004499017232635953
p_ven_mean,art.c,S1,0.29916564333708545,0.03115326367696395
p_ven_mean,ven.r,S1,0.0029947038260293374,0.0033002953102569624
p_ven_mean,ven.c,S1,0.0019940188818539425,0.002984762819381357
p_ven_mean,av.r,S1,7.096328720515983e-05,0.0007112667518291165
p_ven_mean,mv.r,S1,5.822190873936142e-06,0.00013961605232723937
p_ven_mean,la.E_pas,S1,0.006735208778004175,0.005213833042250168
p_ven_mean,la.E_act,S1,0.0002961573169409044,0.0012372402926959626
p_ven_mean,la.k_pas,S1,3.5876328090356444e-05,0.00036604818494664746
p_ven_mean,lv.E_pas,S1,0.0006247374966731317,0.0015678820072065616
p_ven_mean,lv.E_act,S1,0.010149558599450244,0.006594463020241372
p_ven_mean,lv.k_pas,S1,0.6619353039885055,0.04905716270571922
p_ven_mean,"('ao.r', 'ao.c')",S2,-4.7789815405142075e-05,0.0024122051228093284
p_ven_mean,"('ao.r', 'art.r')",S2,-4.681016283016558e-05,0.0024257872435266285
p_ven_mean,"('ao.r', 'art.c')",S2,-8.738064660562816e-06,0.0028874810037189595
p_ven_mean,"('ao.r', 'ven.r')",S2,-4.478984741912743e-05,0.0023927549534318443
