output,parameter,index,value,confidence
v_ao_mean,ao.r,ST,0.0006243613097644884,6.587191884075116e-05
v_ao_mean,ao.c,ST,0.2339452130157863,0.01620639847788587
v_ao_mean,art.r,ST,0.03387974191480531,0.002216971322338218
v_ao_mean,art.c,ST,0.010588339748694914,0.0009366859797690003
v_ao_mean,ven.r,ST,0.0005287294601234048,4.742825952126395e-05
v_ao_mean,ven.c,ST,0.013889717156999989,0.0011049406693710447
v_ao_mean,av.r,ST,1.2992815328873582e-05,1.3568101055715916e-06
v_ao_mean,mv.r,ST,0.0005082249730427894,4.835228287514634e-05
v_ao_mean,la.E_pas,ST,0.0006855541144597655,4.383296481054563e-05
v_ao_mean,la.E_act,ST,0.0005738375155842065,4.1465676476118134e-05
v_ao_mean,la.k_pas,ST,0.039256991477900655,0.003036155315839582
v_ao_mean,lv.E_pas,ST,0.01009783055506782,0.0006140733641201937
v_ao_mean,lv.E_act,ST,0.03442141422769773,0.002542979168468024
v_ao_mean,lv.k_pas,ST,0.6443432726776688,0.034230436291468005
v_ao_mean,ao.r,S1,0.0002927156808922268,0.00146320405345737
v_ao_mean,ao.c,S1,0.2221490048765631,0.026576514848467094
v_ao_mean,art.r,S1,0.032631457865385495,0.012035326234935683
v_ao_mean,art.c,S1,0.007667553667510018,0.0060416009304320095
v_ao_mean,ven.r,S1,0.0002648496789208776,0.001473875065170912
v_ao_mean,ven.c,S1,0.01166347283747675,0.007413780009870451
v_ao_mean,av.r,S1,-2.6799167496584838e-05,0.0002188524869151023
v_ao_mean,mv.r,S1,0.000358204730485009,0.0013496102678782673
v_ao_mean,la.E_pas,S1,0.0011959808799774437,0.0015285272536924813
v_ao_mean,la.E_act,S1,0.00043049632900171367,0.0015172149076831797
v_ao_mean,la.k_pas,S1,0.03945458988668284,0.01187726531978051
v_ao_mean,lv.E_pas,S1,0.009587371424466336,0.006551636758254129
v_ao_mean,lv.E_act,S1,0.03368824371210825,0.01067277144313653
v_ao_mean,lv.k_pas,S1,0.6249842655271362,0.04512619374457085
v_ao_mean,"('ao.r', 'ao.c')",S2,0.00043577439920533534,0.00221912746764114
v_ao_mean,"('ao.r', 'art.r')",S2,5.935197369508205e-06,0.0019878947944215897
v_ao_mean,"('ao.r', 'art.c')",S2,0.00010550574702693737,0.0020148276767864635
v_ao_mean,"('ao.r', 'ven.r')",S2,0.00010915266991703732,0.0020195782429194373
v_ao_mean,"('ao.r', 'ven.c')",S2,0.0002729861525951633,0.001988329686402836
v_ao_mean,"('ao.r', 'av.r')",S2,0.0001091001485162053,0.0020108012782217434
v_ao_mean,"('ao.r', 'mv.r')",S2,0.00010421267375693708,0.0020262623861258705
v_ao_mean,"('ao.r', 'la.E_pas')",S2,0.00010829739023583392,0.002008336819979097
v_ao_mean,"('ao.r', 'la.E_act')",S2,0.00010955911668319524,0.001999129597566091
v_ao_mean,"('ao.r', 'la.k_pas')",S2,0.000220453475460701,0.002167497332415523
v_ao_mean,"('ao.r', 'lv.E_pas')",S2,0.00013390204857441877,0.002007687276762592
