output,parameter,index,value,confidence
v_ven_max,ao.r,ST,0.001165935043229535,8.19615970473341e-05
v_ven_max,ao.c,ST,0.0028498673594093927,0.000192726315558089
v_ven_max,art.r,ST,0.04302668875276204,0.0031743684283876885
v_ven_max,art.c,ST,0.06230818460748792,0.004115185300796071
v_ven_max,ven.r,ST,0.000940056530194593,8.317537687000688e-05
v_ven_max,ven.c,ST,0.021000447331143764,0.0016178501434548757
v_ven_max,av.r,ST,4.804615882676182e-06,4.722257583380556e-07
v_ven_max,mv.r,ST,0.0005768419836042973,6.0909708788263144e-05
v_ven_max,la.E_pas,ST,0.0007504608599568095,5.5271567371051264e-05
v_ven_max,la.E_act,ST,0.00012418987312724273,1.3390266425312454e-05
v_ven_max,la.k_pas,ST,0.05015662978506102,0.0033057427509702348
v_ven_max,lv.E_pas,ST,0.012401942379379638,0.0008996131340902196
v_ven_max,lv.E_act,ST,0.014734138516289604,0.001236635167728804
v_ven_max,lv.k_pas,ST,0.7995071279077212,0.03889003877477848
v_ven_max,ao.r,S1,0.0012053581650653322,0.002191892331657688
v_ven_max,ao.c,S1,0.0029359847881073016,0.0032439487268000576
v_ven_max,art.r,S1,0.04192808987414256,0.011701176636420762
v_ven_max,art.c,S1,0.06119213326032962,0.015836260224438826
v_ven_max,ven.r,S1,-4.6003881295975094e-05,0.0020607877495815523
v_ven_max,ven.c,S1,0.019366142206037065,0.008355127565042985
v_ven_max,av.r,S1,1.887884827035316e-05,0.00013678650767101613
v_ven_max,mv.r,S1,0.00035211288760107144,0.0014526316470962939
v_ven_max,la.E_pas,S1,0.0006073726952813208,0.0016174193467973215
v_ven_max,la.E_act,S1,-0.00011770041703003834,0.0006463109465270539
v_ven_max,la.k_pas,S1,0.04833619426113194,0.013744959521614905
v_ven_max,lv.E_pas,S1,0.010783865201220145,0.006360958658772081
v_ven_max,lv.E_act,S1,0.013630328120881486,0.007333482245808607
v_ven_max,lv.k_pas,S1,0.7915894520639766,0.04400298130988225
v_ven_max,"('ao.r', 'ao.c')",S2,-7.291275371926198e-05,0.0029727181781446115
v_ven_max,"('ao.r', 'art.r')",S2,-3.505940988848821e-05,0.0030846375474371263
v_ven_max,"('ao.r', 'art.c')",S2,-4.405047179618232e-05,0.0030387962604013666
v_ven_max,"('ao.r', 'ven.r')",S2,-8.432342970407285e-05,0.002980910890255213
v_ven_max,"('ao.r', 'ven.c')",S2,-9.225524517755476e-05,0.003133342944416691
