time_ind,v_ao,v_art,v_ven,v_la,v_lv,p_lv,q_av,p_ao,p_art,q_ao,p_ven,q_art,p_la,q_ven,q_mv,T
0,106.20161554994988,934.632840981478,2879.1634800874967,14.81670447396316,23.270042146550644,0.90349845389304,0.0,14.442184431674582,13.352932956371491,0.0033604299202420946,0.5598879467413598,0.013181133307169683,0.6545578699105257,-0.016437151123824323,0.0,8720.19155351445
1,106.20007456699872,934.6283328187579,2879.176885887004,14.809347820127627,23.270042146550644,0.9091150809170129,0.0,14.438595824833765,13.351194802848685,0.0033547211203580995,0.55998275997534,0.013179244735750556,0.6499685535470883,-0.015623864881489983,0.0,8720.650510964635
2,106.19853619683522,934.6238229091807,2879.1899228762154,14.802359110656806,23.270042146550644,0.9259528496651691,0.0,14.435013302594774,13.349455975812969,0.003349033169810987,0.5600749647787822,0.013177358157946488,0.6454706001532117,-0.014826894508578941,0.0,8721.109468414821
3,106.19700043315616,934.619311258598,2879.2025963424962,14.795733058637095,23.270042146550644,0.9540091404198313,0.0,14.431436850278818,13.347716477520432,0.003343366016355271,0.5601645985468601,0.01317547353755242,0.641062609050487,-0.014045990318263382,0.0,8721.568425865005
4,106.19546726612735,934.6147978759279,2879.2149138156897,14.789462135143017,23.270042146550644,0.9932712399278426,0.0,14.427866444984204,13.345976311409547,0.0033377195787293863,0.5602517145347803,0.013173590823240383,0.6367424041097154,-0.013280765231657464,0.0,8722.027383315191
5,106.19393668583777,934.6102827701786,2879.2268827251896,14.783538911682237,23.270042146550644,1.0437215492801148,0.0,14.424302063630433,13.344235480953435,0.003332093775013243,0.5603363652873384,0.013171709964450072,0.6325076983202274,-0.012530813041325315,0.0,8722.486340765376
6,106.19240868319609,934.6057659496322,2879.2385097279252,14.777956732134744,23.270042146550644,1.105338900044108,0.0,14.420743685045785,13.342493989345334,0.003326488530038947,0.5604185978860223,0.013169830915961847,0.6283562949790075,-0.011795744168151054,0.0,8722.94529821556
7,106.19088324939014,934.6012474223326,2879.2498011302064,14.772709290958664,23.270042146550644,1.178097836539484,0.0,14.417191288708654,13.340751839686693,0.0033209037709274448,0.5604984569325464,0.013167953635016494,0.6242859682995516,-0.011075164413924648,0.0,8723.404255665746
8,106.18936037354813,934.5967271982192,2879.26076456629,14.76778895483043,23.270042146550644,1.2619630648324964,0.0,14.413644849301118,13.339009035809685,0.0033153394077483057,0.5605759964205947,0.013166078069930812,0.6202939239886256,-0.010368579242251076,0.0,8723.86321311593
9,106.18784004684491,934.5922052853849,2879.2714059869336,14.76318977372408,23.270042146550644,1.3568991636097771,0.0,14.410104346271295,13.337265580834604,0.003309795367470932,0.5606512584372229,0.013164204180555944,0.616377806584435,-0.00967557237654055,0.0,8724.322170566116
